"Section","Info"
"0. Info","Date : 2023/12/14 - 20:09:50"
"0. Info","URL  : https://www.spacex.com"
"HTTP Response Headers","Connection: keep-alive"
"HTTP Response Headers","Content-Encoding: br"
"HTTP Response Headers","Content-Type: text/html"
"HTTP Response Headers","Date: Thu, 14 Dec 2023 19:09:50 GMT"
"HTTP Response Headers","ETag: W/""0x8DBEA344E5636CA"""
"HTTP Response Headers","Last-Modified: Tue, 21 Nov 2023 01:50:57 GMT"
"HTTP Response Headers","Strict-Transport-Security: max-age=63072000; includeSubDomains; preload"
"HTTP Response Headers","Transfer-Encoding: chunked"
"HTTP Response Headers","Vary: Accept-Encoding"
"HTTP Response Headers","X-Cache: TCP_HIT"
"HTTP Response Headers","x-azure-ref: 20231214T190950Z-p9mysh4v391cm0hbxwedsw9tu00000000stg000000008ps1"
"HTTP Response Headers","x-ms-request-id: f8e6195d-c01e-004c-0bfb-21f88d000000"
"HTTP Response Headers","x-ms-version: 2018-03-28"
"1. Missing HTTP Security Headers","Cache-Control"
"1. Missing HTTP Security Headers","Clear-Site-Data"
"1. Missing HTTP Security Headers","Cross-Origin-Embedder-Policy"
"1. Missing HTTP Security Headers","Cross-Origin-Opener-Policy"
"1. Missing HTTP Security Headers","Cross-Origin-Resource-Policy"
"1. Missing HTTP Security Headers","Content-Security-Policy"
"1. Missing HTTP Security Headers","NEL"
"1. Missing HTTP Security Headers","Permissions-Policy"
"1. Missing HTTP Security Headers","Referrer-Policy"
"1. Missing HTTP Security Headers","X-Content-Type-Options"
"1. Missing HTTP Security Headers","X-Permitted-Cross-Domain-Policies"
"1. Missing HTTP Security Headers","X-Frame-Options"
"2. Fingerprint HTTP Response Headers","X-Azure-Ref"
"2. Fingerprint HTTP Response Headers","X-Ms-Request-Id"
"2. Fingerprint HTTP Response Headers","X-Ms-Version"
"3. Deprecated HTTP Response Headers/Protocols and Insecure Values","Etag (Potentially Unsafe Header)"
"4. Empty HTTP Response Headers Values","Nothing to report, all seems OK!"
"5. Browser Compatibility for Enabled HTTP Security Headers","Content-Type: https://caniuse.com/?search=Content-Type"
"5. Browser Compatibility for Enabled HTTP Security Headers","Strict-Transport-Security: https://caniuse.com/?search=Strict-Transport-Security"
