"Section","Values"
"[0. Info]","Generator: https://github.com/rfc-st/humble | v.2025-04-26"
"[0. Info]","Date: 2025/04/26 - 19:19:42"
"[0. Info]","URL: https://facebook.com"
"[0. Info]","File: humble_https_facebook.com_20250426_191942_en.csv"
"[0. Info]","Note: The URL returns an error (HTTP code 400, 'Bad Request')"
"[0. Info]","Ref: https://developer.mozilla.org/en-US/docs/Web/HTTP/Reference/Status400"
"[1. Enabled HTTP Security Headers]","Cache-Control"
"[1. Enabled HTTP Security Headers]","Content-Security-Policy"
"[1. Enabled HTTP Security Headers]","Content-Type"
"[1. Enabled HTTP Security Headers]","Cross-Origin-Opener-Policy"
"[1. Enabled HTTP Security Headers]","(*) Origin-Agent-Cluster"
"[1. Enabled HTTP Security Headers]","Pragma"
"[1. Enabled HTTP Security Headers]","Report-To"
"[1. Enabled HTTP Security Headers]","(*) Reporting-Endpoints"
"[1. Enabled HTTP Security Headers]","Strict-Transport-Security"
"[1. Enabled HTTP Security Headers]","X-Content-Type-Options"
"[1. Enabled HTTP Security Headers]","X-Frame-Options"
"[1. Enabled HTTP Security Headers]","X-Xss-Protection"
"[2. Missing HTTP Security Headers]","Clear-Site-Data"
"[2. Missing HTTP Security Headers]","Cross-Origin-Embedder-Policy"
"[2. Missing HTTP Security Headers]","Cross-Origin-Resource-Policy"
"[2. Missing HTTP Security Headers]","(*) NEL"
"[2. Missing HTTP Security Headers]","(*) Permissions-Policy"
"[2. Missing HTTP Security Headers]","Referrer-Policy"
"[2. Missing HTTP Security Headers]","X-Permitted-Cross-Domain-Policies"
"[3. Fingerprint HTTP Response Headers]","X-Fb-Debug"
"[4. Deprecated HTTP Response Headers/Protocols and Insecure Values]","Content-Security-Policy (Deprecated Directives)"
"[4. Deprecated HTTP Response Headers/Protocols and Insecure Values]","Content-Security-Policy ('base-uri' Directive Missing)"
"[4. Deprecated HTTP Response Headers/Protocols and Insecure Values]","(*) Content-Security-Policy ('require-trusted-types-for' Directive Missing)"
"[4. Deprecated HTTP Response Headers/Protocols and Insecure Values]","Content-Security-Policy (Too Permissive Sources)"
"[4. Deprecated HTTP Response Headers/Protocols and Insecure Values]","Content-Security-Policy (Insecure Schemes)"
"[4. Deprecated HTTP Response Headers/Protocols and Insecure Values]","Content-Security-Policy (Unsafe Values)"
"[4. Deprecated HTTP Response Headers/Protocols and Insecure Values]","Content-Security-Policy (Unsafe Nonce)"
"[4. Deprecated HTTP Response Headers/Protocols and Insecure Values]","Pragma (Deprecated Header)"
"[4. Deprecated HTTP Response Headers/Protocols and Insecure Values]","Report-To (Deprecated Header)"
"[4. Deprecated HTTP Response Headers/Protocols and Insecure Values]","Strict-Transport-Security (Recommended Values)"
"[4. Deprecated HTTP Response Headers/Protocols and Insecure Values]","Strict-Transport-Security (Required Values)"
"[4. Deprecated HTTP Response Headers/Protocols and Insecure Values]","Vary (Potentially Unsafe Header)"
"[4. Deprecated HTTP Response Headers/Protocols and Insecure Values]","X-XSS-Protection (Deprecated Header)"
"[5. Empty HTTP Response Headers Values]","Nothing to report, all seems OK!"
"[6. Browser Compatibility for Enabled HTTP Security Headers]","Cache-Control: https://caniuse.com/?search=Cache-Control"
"[6. Browser Compatibility for Enabled HTTP Security Headers]","Content-Security-Policy: https://caniuse.com/?search=contentsecuritypolicy2"
"[6. Browser Compatibility for Enabled HTTP Security Headers]","Content-Type: https://caniuse.com/?search=Content-Type"
"[6. Browser Compatibility for Enabled HTTP Security Headers]","Cross-Origin-Opener-Policy: https://caniuse.com/?search=Cross-Origin-Opener-Policy"
"[6. Browser Compatibility for Enabled HTTP Security Headers]","Origin-Agent-Cluster: https://caniuse.com/?search=Origin-Agent-Cluster"
"[6. Browser Compatibility for Enabled HTTP Security Headers]","Pragma: https://caniuse.com/?search=Pragma"
"[6. Browser Compatibility for Enabled HTTP Security Headers]","Report-To: https://caniuse.com/?search=Report-To"
"[6. Browser Compatibility for Enabled HTTP Security Headers]","Reporting-Endpoints: https://caniuse.com/?search=Reporting-Endpoints"
"[6. Browser Compatibility for Enabled HTTP Security Headers]","Strict-Transport-Security: https://caniuse.com/?search=Strict-Transport-Security"
"[6. Browser Compatibility for Enabled HTTP Security Headers]","Vary: https://caniuse.com/?search=Vary"
"[6. Browser Compatibility for Enabled HTTP Security Headers]","X-Content-Type-Options: https://caniuse.com/?search=X-Content-Type-Options"
"[6. Browser Compatibility for Enabled HTTP Security Headers]","X-Frame-Options: https://caniuse.com/?search=X-Frame-Options"
"[6. Browser Compatibility for Enabled HTTP Security Headers]","X-XSS-Protection: https://caniuse.com/?search=X-XSS-Protection"
"[7. Analysis Results]","Done in 0.33 seconds! (changes with respect to the last analysis in parentheses)"
"[7. Analysis Results]","Enabled headers: 12 (First Analysis)"
"[7. Analysis Results]","Missing headers: 7 (First Analysis)"
"[7. Analysis Results]","Fingerprint headers: 1 (First Analysis)"
"[7. Analysis Results]","Deprecated/Insecure headers: 13 (First Analysis)"
"[7. Analysis Results]","Empty headers: 0 (First Analysis)"
"[7. Analysis Results]","Findings to review: 21 (First Analysis)"
"[7. Analysis Results]","Analysis Grade: D (Review 'Deprecated/Insecure headers')"
"[7. Analysis Results]","'(*)' meaning: Experimental HTTP response directive or header"
"[7. Analysis Results]","'(*)' ref: https://mdn.io/Experimental_deprecated_obsolete"
